GEO_ID		CD114	USP_DEM_2016	USP_REP_2016	USP_OTH_2016	USP_MARGIN_2016	USS_DEM_2016	USS_REP_2016	USS_OTH_2016	USS_MARGIN_2016	USC_DEM_2016	USC_REP_2016	USC_OTH_2016	USC_MARGIN_2016	USP_DEM_2012	USP_REP_2012	USP_OTH_2012	USP_MARGIN_2012	USS_DEM_2012	USS_REP_2012	USS_OTH_2012	USS_MARGIN_2012	USC_DEM_2012	USC_REP_2012	USC_OTH_2012	USC_MARGIN_2012	USP_MARGIN_CHANGE	USS_MARGIN_CHANGE	USC_MARGIN_CHANGE		TOTALPOP_2010	TOTALPOP_2015	TOTALPOP_CHANGE			CENSUSAREA	POPDEN_2010	POPDEN_2015	POPDEN_CHANGE		NONWHITE_2010	NONWHITE_2015	NONWHITE_CHANGE	UNEMPLOY_2010	UNEMPLOY_2015	UNEMPLOY_CHANGE	COLLEGE_2010	COLLEGE_2015	COLLEGE_CHANGE	INC_2010	INC_2015	INC_CHANGE
1400000US42003040500		14	1246.89	280.63	84.435	-0.599433607	1151.548	390.106	52.124	-0.477759136	1175.981	385.44	0	-0.506295868	969.402	333.953	49.514	-0.469704753	916.101	393.274	0	-0.399295084	585.988	208.344	0	-0.475423375	-0.129728854	-0.078464052	-0.030872493		2739	3629	0.3249			0.182	15049.45055	19939.56044	32.4936108		21	17.1	-0.039	8.9	6.7	-0.022	44.5	67.4	0.229	14473	17441	0.205071512
1400000US42003040600		14	754.82	141.146	60.093	-0.641878796	702.676	213.238	33.318	-0.515614729	723.317	201.474	0	-0.564282092	609.424	185.005	26.816	-0.516799493	582.203	203.14	0	-0.482671903	320.634	134.818	0	-0.407981522	-0.125079303	-0.032942826	-0.15630057		2211	2193	-0.0081			0.098	22561.22449	22377.55102	-0.814111265		22.7	24.5	0.018	6.1	4.1	-0.02	28.6	30	0.014	19730	21277	0.078408515
1400000US42003040900		14	1195.11	217.532	69.489	-0.659575975	1128.213	286.689	50.613	-0.574217255	1165.995	272.63	0	-0.620985316	1016.981	223.161	33.544	-0.623246232	973.169	265.259	0	-0.571619828	817.618	272.655	0	-0.499840866	-0.036329743	-0.002597427	-0.12114445		2643	2921	0.1052			0.356	7424.157303	8205.05618	10.51835037		26.7	29	0.023	15.8	6	-0.098	29.3	41.5	0.122	26725	26964	0.008942937
1400000US42003050100		14	792.329	15.27	14.847	-0.944814614	781.205	17.886	18.438	-0.933690426	787.996	26.762	0	-0.934306874	1082.063	10.898	4.425	-0.976105946	989.685	21.893	0	-0.956715152	1496.928	379.341	0	-0.595643269	0.031291332	0.023024726	-0.338663605		1541	1760	0.1421			0.305	5052.459016	5770.491803	14.21155094		97.7	87.7	-0.1	18.9	17.8	-0.011	11.9	10.1	-0.018	23500	17692	-0.247148936
1400000US42003050600		14	1191.344	63.418	30.538	-0.877558547	1159.628	77.126	31.44	-0.853577607	1160.214	99.898	0	-0.84144584	1349.25	58.238	13.204	-0.908720539	1177.99	89.988	0	-0.858060629	968.792	238.876	0	-0.60440121	0.031161992	0.004483022	-0.23704463		2135	1884	-0.1176			0.311	6864.951768	6057.877814	-11.75644027		85.7	85.4	-0.003	10.3	18	0.077	30	21.2	-0.088	35290	26250	-0.256163219
1400000US42003050900		14	733.902	23.253	8.204	-0.928517206	717.986	23.223	13.736	-0.920282935	725.975	23.921	0	-0.93620182	785.449	24.462	3.059	-0.936057911	743.987	27.364	0	-0.929049162	862.741	354.749	0	-0.417245316	0.007540705	0.008766227	-0.518956504		988	1349	0.3654			0.179	5519.553073	7536.312849	36.53846153		98.4	98.4	0	20	41.3	0.213	26.4	3.5	-0.229	14539	11975	-0.176353257
1400000US42003051000		14	633.053	20.908	10.296	-0.921548437	621.982	25.86	7.451	-0.909702988	613.257	33.244	0	-0.897157158	786.975	27.138	2.285	-0.930718841	740.511	31.649	0	-0.918024762	1380.176	256.668	0	-0.68638673	0.009170404	0.008321774	-0.210770428		2321	1965	-0.1534			0.249	9321.285141	7891.566265	-15.33821629		53	55.6	0.026	22.6	8.5	-0.141	13.1	18.4	0.053	12818	14544	0.134654392
1400000US42003051100		14	199.387	2.866	2.244	-0.960996983	190.323	4.044	2.942	-0.944097836	186.841	6.113	0	-0.936637748	173.43	1.789	0.687	-0.975754096	149.909	1.988	0	-0.973824368	609.942	79.948	0	-0.768229718	0.014757113	0.029726532	-0.16840803		984	327	-0.6677			0.071	13859.15493	4605.633803	-66.76829268		80.8	100	0.192	14.8	52.2	0.374	3.3	0	-0.033	10902	9773	-0.10355898
1400000US42003060300		14	1005.657	187.987	61.059	-0.651684104	953.169	237.98	57.998	-0.572541903	1020.134	216.2	0	-0.650256322	889.437	184.041	22.844	-0.643420455	865.417	211.223	0	-0.607625576	910.17	350.228	0	-0.444258084	-0.008263649	0.035083673	-0.205998238		2591	2572	-0.0073			0.432	5997.685185	5953.703704	-0.733307595		20.7	28	0.073	9.5	10.2	0.007	27.6	35.8	0.082	25194	37431	0.485710884
1400000US42003060500		14	532.406	139.918	31.851	-0.557372812	539.338	126.351	35.286	-0.589160812	590.818	101.388	0	-0.707058303	487.09	151.918	21.551	-0.507406606	492.054	147.068	0	-0.539781137	441.02	191.435	0	-0.394628867	-0.049966206	-0.049379675	-0.312429436		1332	1331	-0.0008			0.254	5244.094488	5240.15748	-0.075075077		8.8	13.1	0.043	1.2	7.6	0.064	23.6	31.9	0.083	32875	37273	0.133779468
