GEO_ID	USP_DEM_2016	USP_REP_2016	USP_OTH_2016	USS_DEM_2016	USS_REP_2016	USS_OTH_2016	USC_DEM_2016	USC_REP_2016	USC_OTH_2016	USP_DEM_2012	USP_REP_2012	USP_OTH_2012	USS_DEM_2012	USS_REP_2012	USS_OTH_2012	USC_DEM_2012	USC_REP_2012	USC_OTH_2012			TOTALPOP_2010	TOTALPOP_2015	TOTALPOP_CHANGE			CENSUSAREA	POPDEN_2010	POPDEN_2015	POPDEN_CHANGE		NONWHITE_2010	NONWHITE_2015	NONWHITE_CHANGE	UNEMPLOY_2010	UNEMPLOY_2015	UNEMPLOY_CHANGE	COLLEGE_2010	COLLEGE_2015	COLLEGE_CHANGE	INC_2010	INC_2015	INC_CHANGE
1400000US42003050100	792.329	15.27	14.847	781.205	17.886	18.438	787.996	26.762	0	1082.063	10.898	4.425	989.685	21.893	0	1496.928	379.341	0	ok		1541	1760	0.1421			0.305	5052.459016	5770.491803	14.21155094		97.7	87.7	-0.1	18.9	17.8	-0.011	11.9	10.1	-0.018	23500	17692	-0.247148936
1400000US42003050600	1191.344	63.418	30.538	1159.628	77.126	31.44	1160.214	99.898	0	1349.25	58.238	13.204	1177.99	89.988	0	968.792	238.876	0	ok		2135	1884	-0.1176			0.311	6864.951768	6057.877814	-11.75644027		85.7	85.4	-0.003	10.3	18	0.077	30	21.2	-0.088	35290	26250	-0.256163219
1400000US42003050900	733.902	23.253	8.204	717.986	23.223	13.736	725.975	23.921	0	785.449	24.462	3.059	743.987	27.364	0	862.741	354.749	0	ok		988	1349	0.3654			0.179	5519.553073	7536.312849	36.53846153		98.4	98.4	0	20	41.3	0.213	26.4	3.5	-0.229	14539	11975	-0.176353257
1400000US42003051000	633.053	20.908	10.296	621.982	25.86	7.451	613.257	33.244	0	786.975	27.138	2.285	740.511	31.649	0	1380.176	256.668	0	ok		2321	1965	-0.1534			0.249	9321.285141	7891.566265	-15.33821629		53	55.6	0.026	22.6	8.5	-0.141	13.1	18.4	0.053	12818	14544	0.134654392
1400000US42003051100	199.387	2.866	2.244	190.323	4.044	2.942	186.841	6.113	0	173.43	1.789	0.687	149.909	1.988	0	609.942	79.948	0	ok		984	327	-0.6677			0.071	13859.15493	4605.633803	-66.76829268		80.8	100	0.192	14.8	52.2	0.374	3.3	0	-0.033	10902	9773	-0.10355898
1400000US42003060300	1005.657	187.987	61.059	953.169	237.98	57.998	1020.134	216.2	0	889.437	184.041	22.844	865.417	211.223	0	910.17	350.228	0	ok		2591	2572	-0.0073			0.432	5997.685185	5953.703704	-0.733307595		20.7	28	0.073	9.5	10.2	0.007	27.6	35.8	0.082	25194	37431	0.485710884
1400000US42003060500	532.406	139.918	31.851	539.338	126.351	35.286	590.818	101.388	0	487.09	151.918	21.551	492.054	147.068	0	441.02	191.435	0	ok		1332	1331	-0.0008			0.254	5244.094488	5240.15748	-0.075075077		8.8	13.1	0.043	1.2	7.6	0.064	23.6	31.9	0.083	32875	37273	0.133779468
1400000US42003070300	1011.679	208.378	48.893	910.694	305.251	46.465	957.007	273.157	0	796.973	323.412	26.104	802.981	324.787	0	840.621	118.836	0	ok		2272	2000	-0.1197			0.165	13769.69697	12121.21212	-11.971831		19.3	16.7	-0.026	3.1	2.8	-0.003	78.4	73.5	-0.049	57396	54821	-0.044863754
1400000US42003070500	1234.439	214.879	57.061	1140.959	330.753	37.378	1169.753	298.353	0	1013.764	351.356	33.608	999.081	367.134	0	1116.514	229.161	0	ok		3197	3106	-0.0285			0.159	20106.91824	19534.59119	-2.846418547		18.3	28.6	0.103	3	3.2	0.002	84.1	88.1	0.04	48521	51250	0.056243688
1400000US42003070600	971.796	171.63	38.612	893.442	255.127	29.61	924.494	229.753	0	776.666	264.262	23.938	775.509	263.369	0	681.379	133.55	0	ok		1979	2118	0.0702			0.112	17669.64286	18910.71429	7.023749375		20.9	21.9	0.01	4	3.8	-0.002	85.2	79.4	-0.058	42344	47336	0.117891555
1400000US42003070800	917.684	152.543	36.314	839.761	230.227	33.537	882.342	207.195	0	648.985	217.606	15.908	635.949	227.048	0	337.01	85.711	0	ok		1946	1850	-0.0493			0.175	11120	10571.42857	-4.933196313		39	33.5	-0.055	14.4	3.1	-0.113	74.7	81.4	0.067	48333	51703	0.069724619
1400000US42003070900	1498.786	303.982	62.184	1389.306	426.953	46.507	1451.747	372.569	0	1240.279	486.012	38.151	1213.507	501.342	0	1284.615	133.345	0	ok		4587	4488	-0.0216			0.31	14796.77419	14477.41935	-2.158273391		46.8	47	0.002	7.4	4.5	-0.029	77.5	76.6	-0.009	37128	33929	-0.086161388
1400000US42003080200	623.984	208.464	43.666	630.329	198.139	44.668	699.518	156.913	0	578.069	222.463	44.275	603.431	225.891	0	510.756	163.46	0	ok		1723	1710	-0.0075			0.133	12954.88722	12857.14286	-0.754497962		7.1	12.6	0.055	5.4	2.9	-0.025	25.9	41.8	0.159	36200	40144	0.108950276
1400000US42003080400	587.792	168.58	47.302	582.94	186.765	37.553	630.737	165.939	0	430.645	172.974	28.079	442.589	183.176	0	407.495	65.311	0	ok		1419	1551	0.093			0.166	8548.192771	9343.373494	9.302325583		12	24.4	0.124	5.3	2.7	-0.026	40.9	58.2	0.173	37321	32837	-0.120146834
1400000US42003080600	895.657	139.125	50.093	869.906	171.106	39.558	901.252	155.622	0	784.812	171.466	29.185	771.923	203.776	0	484.591	18.924	0	ok		2253	2055	-0.0879			0.156	14442.30769	13173.07692	-8.788282297		22.9	11.1	-0.118	2.9	5.8	0.029	57.6	67.6	0.1	39330	51509	0.309661836
1400000US42003080700	732.784	86.176	32.378	701.884	123.75	26.395	716.095	124.925	0	644.8	103.607	15.043	623.46	121.113	0	622.447	25.331	0	ok		1412	1840	0.3031			0.106	13320.75472	17358.49057	30.31161473		36.1	42.6	0.065	10.2	3.9	-0.063	61.3	71.3	0.1	22252	36944	0.660255258
1400000US42003080900	936.168	185.475	51.207	922.544	203.969	42.467	979.923	175.278	0	815.238	182.784	30.74	804.902	207.049	0	815.759	109.826	0	ok		1864	1701	-0.0874			0.147	12680.27211	11571.42857	-8.744635213		21.7	18.5	-0.032	5.3	5.1	-0.002	39.2	57.8	0.186	34815	49750	0.428981761
1400000US42003090100	887	193	58	848	212	63	929	181	0	711	160	20	715	161	0	762	32	0	ok		1758	1794	0.0205			0.26	6761.538462	6900	2.047781563		29.2	15.7	-0.135	12.6	4.9	-0.077	13.7	46.2	0.325	24840	50781	1.044323671
1400000US42003090200	805.2	216.328	45.82	806.2	213.768	53.256	872.05	169.828	0	740.854	225.952	31.816	757.106	226.234	0	672.86	95.534	0	ok		2796	2981	0.0662			0.171	16350.87719	17432.74854	6.616595168		16.1	16.4	0.003	5.9	2.4	-0.035	33.8	37.8	0.04	36315	53724	0.479388682
1400000US42003090300	644.558	155.143	45.866	643.431	160.27	40.157	697.521	138.725	0	566.438	160.464	27.836	555.408	177.397	0	593.2	106.277	0	ok		1744	1652	-0.0528			0.098	17795.91837	16857.14286	-5.275229356		19.7	12.5	-0.072	10.8	14.2	0.034	12.9	36	0.231	20978	33816	0.611974449
1400000US42003100500	967.299	96.321	20.72	946.764	100.935	28.925	961.73	102.587	0	1015.038	99.524	9.056	985.866	107.219	0	889.504	240.062	0	ok		2057	2256	0.0967			0.28	7346.428571	8057.142857	9.674282941		73.9	72.2	-0.017	10.2	6	-0.042	32.2	36.7	0.045	49044	41051	-0.162976103
1400000US42003101100	1117.838	311.668	64.603	1101.221	308.051	83.178	1218.057	244.869	0	960.356	280.528	20.933	960.16	280.027	0	1040.146	366.499	0	ok		2522	2754	0.092			0.405	6227.160494	6800	9.199048371		31.2	20.4	-0.108	11.4	4.4	-0.07	17.1	40.5	0.234	32125	41615	0.29540856
1400000US42003101400	1242.865	429.289	78.182	1231.008	425.781	88.121	1372.286	339.072	0	1182.768	506.486	27.751	1230.535	455.479	0	1318.629	390.433	0	ok		3699	3262	-0.1181			0.373	9916.89008	8745.308311	-11.81400378		17.1	18.9	0.018	6	4.3	-0.017	34.3	40.2	0.059	43600	45761	0.04956422
1400000US42003101600	474.082	17.072	8.552	466.152	20.842	8.446	469.996	22.854	0	435.436	10.47	2.186	421.83	13.072	0	663.036	140.786	0	ok		945	990	0.0476			0.179	5279.329609	5530.726257	4.761904761		94.4	98.5	0.041	22.1	15.4	-0.067	17.2	13	-0.042	24250	26905	0.109484536
1400000US42003101700	774.59	39.92	29.28	768.36	43.15	28.05	790.18	42.97	0	746.9	33.69	7.23	718.85	50.92	0	699.74	137.51	0	ok		1471	1539	0.0462			0.152	9677.631579	10125	4.622705642		85	75.6	-0.094	7.5	7.5	0	13.7	19.2	0.055	24878	32163	0.292829006
1400000US42003101800	1140.592	340.355	63.533	1133.284	350.766	63.755	1254.611	262.891	0	1076.539	387.555	25.929	1104.633	359.173	0	1146.209	372.94	0	ok		2851	2505	-0.1214			0.462	6170.995671	5422.077922	-12.1360926		24.6	21.4	-0.032	6.5	3.6	-0.029	38.3	37.5	-0.008	53750	56556	0.052204651
1400000US42003110200	1791.572	228.337	86.659	1738.261	307.139	53.611	1793.527	280.307	0	1633.13	272.782	30.358	1587.011	308.178	0	1527.308	350.157	0	ok		3771	4260	0.1297			0.315	11971.42857	13523.80952	12.96738264		41.4	43.8	0.024	3.4	6.4	0.03	57.4	50.5	-0.069	46722	48011	0.027588716
1400000US42003110600	1249.268	155.581	34.915	1209.569	207.01	22.92	1265.751	155.801	0	1156.972	213.029	20.929	1161.853	209.51	0	577.381	165.631	0	ok		2643	2523	-0.0454			0.245	10787.7551	10297.95918	-4.540295135		41.5	18.5	-0.23	9.3	3.8	-0.055	64.9	70.9	0.06	81450	67411	-0.172363413
1400000US42003111300	1196.605	82.255	37.545	1165.912	100.15	46.094	1184.069	121.081	0	1183.651	69.296	13.04	1136.584	90.308	0	894.411	303.344	0	ok		2882	2494	-0.1346			0.207	13922.70531	12048.30918	-13.46287297		78.2	64.1	-0.141	15.7	5.7	-0.1	20.7	38.4	0.177	28641	33400	0.166160399
1400000US42003111400	740.148	19.082	28.76	727.588	35.33	23.794	731.358	38.808	0	745.578	17.56	6.712	697.682	32.028	0	743.036	316.326	0	ok		1574	1437	-0.087			0.126	12492.06349	11404.7619	-8.703939032		98.9	89.1	-0.098	29.7	18.5	-0.112	11.3	19.5	0.082	18885	21154	0.120148266
1400000US42003111500	1505.227	82.404	34.398	1437.785	117.187	50.229	1454.586	130.446	0	1636.955	89.165	14.527	1569.259	110.181	0	1348.731	337.035	0	ok		3206	3043	-0.0508			0.371	8641.509434	8202.156334	-5.084217096		77.1	75.4	-0.017	9.9	10.3	0.004	36.9	36.5	-0.004	19136	24308	0.27027592
1400000US42003120300	850.603	13.397	7.698	831.95	20.97	18.006	837.666	20.615	0	980.915	15.192	2.669	945.702	25.419	0	648.826	284.619	0	ok		1777	1785	0.0045			0.417	4261.390887	4280.57554	0.450196978		94.5	97.5	0.03	6.3	26.6	0.203	17.9	10.3	-0.076	42633	25368	-0.404967983
1400000US42003120400	405.66	7.259	4.506	398.154	9.012	8.259	403.66	8.506	0	487.78	4.753	1.753	467.732	7.259	0	726.027	94.734	0	ok		695	734	0.0561			0.169	4112.426036	4343.195266	5.611510772		93.1	94.6	0.015	23.2	35.1	0.119	3.3	3.6	0.003	22188	15960	-0.280692266
1400000US42003120700	417.406	9.739	4.067	414.461	8.627	4.738	418.391	8.528	0	515.591	7.656	1.974	494.525	11.034	0	780.351	107.288	0	ok		980	850	-0.1327			0.199	4924.623116	4271.356784	-13.26530613		100	99.4	-0.006	19	11.5	-0.075	7.4	5.2	-0.022	14900	19762	0.326308725
1400000US42003120800	418.236	19.159	5.899	407.361	17.443	12.402	416.684	18.041	0	447.406	12.371	2.172	424.672	16.158	0	752.802	223.342	0	ok		947	907	-0.0422			0.276	3431.15942	3286.231884	-4.22386483		92.5	85.2	-0.073	17	33.1	0.161	10.2	3.4	-0.068	30670	25689	-0.16240626
1400000US42003130100	923.057	13.879	10.537	902.597	11.826	17.981	889.299	36.576	0	1107.214	14.954	0.947	1071.253	22.305	0	1212.116	352.353	0	ok		1917	1948	0.0162			0.298	6432.885906	6536.912752	1.617110073		100	100	0	13.8	33.2	0.194	9.8	11	0.012	20000	16630	-0.1685
1400000US42003130200	609.246	12.13	5.428	597.791	11.398	12.553	579.712	38.641	0	722.063	9.042	0	704.397	12.718	0	758.201	303.068	0	ok		1156	1423	0.231			0.135	8562.962963	10540.74074	23.0968858		100	98.4	-0.016	12.5	19.9	0.074	18	11.4	-0.066	35179	27500	-0.218283635
1400000US42003130300	673.096	15.846	8.64	664.587	17.628	11.235	665.05	28.469	0	729.411	12.769	0.532	715.385	15.979	0	912.115	421.335	0	ok		874	1294	0.4805			0.211	4142.180095	6132.701422	48.05491991		100	94.3	-0.057	3.8	29.3	0.255	21.9	14.3	-0.076	17538	13986	-0.202531646
1400000US42003130400	536.437	12.733	9.2	533.183	10.194	11.709	535.69	17.446	0	640.524	7.602	1.079	615.236	12.814	0	806.404	185.859	0	ok		1238	982	-0.2068			0.183	6765.027322	5366.120219	-20.67851372		100	98.1	-0.019	12.8	21.5	0.087	14.7	19.7	0.05	27630	24250	-0.1223308
1400000US42003130600	1433.017	36.898	15.251	1412.529	45.869	23.334	1428.671	51.483	0	1676.332	25.004	1.014	1580.237	33.087	0	1486.619	643.671	0	ok		2988	2859	-0.0432			0.542	5512.915129	5274.907749	-4.317269075		96.7	94.4	-0.023	19.6	26.8	0.072	12.6	11.6	-0.01	22679	18012	-0.205785088
1400000US42003140100	3014.605	369.69	84.561	2802.408	573.551	60.136	2836.063	510.858	0	2481.352	650.777	95.114	2377.142	691.905	0	964.329	450.509	0	ok		6316	5306	-0.1599			0.566	11159.0106	9374.558304	-15.99113362		32.4	33	0.006	10.5	4.4	-0.061	77.9	80.2	0.023	107321	119688	0.115233738
1400000US42003140200	971.27	149.925	24.896	891.204	241.419	19.488	918.05	215.068	0	864.857	256.854	18.555	843.613	274.884	0	870.908	548.086	0	ok		2637	2321	-0.1198			0.293	9000	7921.501706	-11.98331438		33.1	24.4	-0.087	5.7	3.4	-0.023	84.3	83.2	-0.011	45819	72115	0.573910387
