GEO_ID,pop_change,non_white_change,unemploy_change,edu_change,med_income_change,mean_income_change,%change in diff between mean and median
1400000US42003191500,-8.09%,16.4,5.7,19.5,8.00%,9.35%,14.97%
1400000US42003191600,6.19%,-2.7,-0.2,1.3,21.87%,29.20%,69.12%
1400000US42003191700,-2.18%,2.4,2,7.4,23.14%,27.66%,43.31%
1400000US42003191800,-2.93%,3.7,-1.1,1.8,24.03%,24.37%,26.88%
1400000US42003191900,-19.80%,16.7,-2.7,3.7,-19.56%,-6.34%,78.14%
1400000US42003192000,5.94%,1.5,-1.1,3.7,14.57%,20.25%,48.15%
1400000US42003202200,19.02%,15.2,5.8,3.6,-1.96%,-8.37%,-43.68%
1400000US42003202300,-15.36%,11.1,-0.4,7.7,5.76%,15.25%,78.36%
1400000US42003210700,-9.12%,-20.1,-11,13.7,29.90%,27.41%,21.11%
1400000US42003220600,-4.18%,-6.7,-7.2,16.7,25.75%,-6.32%,-30.82%
1400000US42003240600,-13.42%,10.3,8.8,11.2,25.02%,19.00%,10.80%
1400000US42003241200,-23.64%,0.6,-7.8,-6,-28.71%,-13.53%,323.39%
1400000US42003250300,7.66%,-3.5,-1.3,-6.5,-8.53%,-12.05%,-20.78%
1400000US42003250700,-10.18%,6.7,3,1.7,10.52%,-19.75%,-55.41%
1400000US42003250900,0.40%,10.2,-5.2,3.6,-25.27%,39.11%,4328.34%
1400000US42003260200,-18.48%,-21.7,3.6,7.2,-25.94%,7.68%,-1268.23%
1400000US42003260700,-16.96%,0.5,-1.2,12.7,19.33%,32.89%,81.64%
1400000US42003260900,4.39%,-0.2,22.1,3.4,-27.11%,-17.25%,1.85%
1400000US42003261200,2.94%,6.5,-0.4,17.5,34.88%,38.93%,53.33%
1400000US42003261400,-10.72%,6.2,5.8,-2.4,6.48%,17.77%,60.08%
1400000US42003261500,-19.93%,-16.5,12.1,13.1,-43.62%,-17.28%,-1645.63%
1400000US42003262000,-1.13%,14.7,-10.4,1.7,17.74%,28.93%,51.40%
1400000US42003270100,-13.68%,3.3,-4.8,-0.9,8.52%,0.12%,-31.89%
1400000US42003270300,-12.84%,-1,4.1,7,40.12%,14.63%,-21.69%
1400000US42003270400,-5.83%,-1.3,8.3,-1.1,17.99%,5.92%,-37.41%
1400000US42003270800,-3.87%,6.4,0.7,0.8,25.31%,18.61%,-15.13%
1400000US42003271500,-15.92%,6.4,6.7,1.4,14.68%,10.23%,-12.96%
1400000US42003281400,26.65%,7.8,-9.6,14.6,29.04%,50.93%,131.14%
1400000US42003281500,-6.95%,11.3,-11.1,10.2,4.70%,-0.29%,-20.53%
1400000US42003290100,5.22%,16.3,13.4,6.4,4.64%,-2.40%,-22.54%
1400000US42003290200,1.13%,6.7,-8,2.1,15.05%,23.37%,66.64%
1400000US42003290400,-15.03%,9.8,3.8,7.3,16.85%,13.66%,5.44%
1400000US42003300100,9.92%,11.3,7.9,-3.5,7.94%,5.05%,-0.89%
1400000US42003310200,1.98%,-6.8,6.8,6,8.94%,5.04%,-9.74%
1400000US42003310300,-9.74%,8.5,-1.1,-1.5,-17.06%,-16.73%,-9.61%
1400000US42003320400,3.24%,1,2.9,2.2,2.16%,0.18%,-11.54%
1400000US42003320600,-3.57%,-0.4,2.3,0.6,-9.63%,15.62%,16267.78%
1400000US42003320700,-19.94%,11.6,0.7,0.9,-4.33%,-5.52%,-11.19%
1400000US42003401100,-1.02%,-2.1,3.6,7.9,28.06%,5.33%,-75.75%
1400000US42003401200,-6.54%,-13.8,-0.5,-1.6,13.27%,-7.42%,-52.25%
1400000US42003401300,10.36%,4.2,2.2,-6,30.13%,11.76%,-55.79%
1400000US42003402000,-0.92%,2.9,2,5.3,6.54%,31.95%,193.40%
1400000US42003403500,-1.34%,8.3,0.8,5.5,15.03%,2.79%,-29.79%
1400000US42003404000,2.58%,3.6,-0.8,-7.8,6.93%,16.82%,95.22%
1400000US42003405000,-1.52%,-1.6,-0.1,-5.9,2.39%,8.01%,35.15%
1400000US42003406000,-1.39%,1.4,2.5,0.6,3.99%,5.00%,9.31%
1400000US42003407001,-0.79%,0.3,3,1.8,3.33%,6.97%,24.65%
1400000US42003407002,4.77%,1.2,-0.7,3,-2.67%,6.34%,85.29%
1400000US42003408001,12.64%,-0.6,2.4,5.2,4.62%,4.96%,6.03%
1400000US42003408002,2.89%,3.2,0.9,4.8,7.61%,10.21%,38.96%
1400000US42003409000,13.81%,-2.7,4,3.3,10.43%,6.89%,-3.16%
1400000US42003410000,5.62%,-7,2.1,5.4,-8.32%,-22.73%,-47.06%
1400000US42003411000,13.02%,-2.9,1.7,5.4,-3.98%,-13.42%,-33.34%
1400000US42003412001,8.78%,6.4,0.6,-4.5,-0.13%,-3.74%,-15.49%
1400000US42003412002,7.52%,-1.1,-2.1,3.5,0.56%,-2.59%,-11.12%
1400000US42003413100,16.20%,10.5,2,2.5,25.96%,11.36%,-37.88%
1400000US42003413201,-4.11%,2.7,-0.5,-5.9,0.94%,-9.93%,-51.37%
1400000US42003413202,-2.40%,0.2,-1.6,-2.3,0.65%,-10.44%,-24.75%
1400000US42003413300,-0.63%,1.7,1.8,9.3,7.83%,7.39%,4.17%
1400000US42003413400,-3.77%,-1,-1.6,-6.1,-9.03%,-5.54%,11.24%
1400000US42003413500,-0.59%,3.8,2.1,-3.8,3.32%,4.80%,11.15%
1400000US42003414101,-5.33%,-2.7,-1.2,-6.1,19.65%,14.46%,-5.25%
1400000US42003414102,12.31%,4.2,-0.7,9.5,13.45%,9.67%,-1.88%
1400000US42003414200,-1.78%,3.2,-0.8,11.6,-7.02%,2.95%,25.06%
1400000US42003415001,8.65%,6,-0.9,3.4,27.87%,17.85%,-0.62%
1400000US42003415002,-7.92%,3.3,-4.2,1.5,3.59%,7.57%,15.69%
1400000US42003416000,10.05%,-0.6,-1.4,-2.4,14.97%,10.54%,-7.01%
1400000US42003417100,-2.31%,5.7,-0.9,4,22.59%,10.98%,-42.30%
1400000US42003417200,0.24%,-0.4,3.9,4.6,-20.41%,13.65%,685.75%
1400000US42003418000,6.22%,-0.6,3.4,4.1,-3.52%,6.28%,86.63%
1400000US42003419000,2.09%,-2.6,3.5,-2,24.39%,-3.30%,-35.71%
1400000US42003420000,11.66%,15.4,2.8,-3.4,-11.11%,-7.95%,6.52%
1400000US42003421100,-0.48%,9,-0.7,6,-10.72%,5.07%,51.62%
1400000US42003421200,3.52%,1,0.8,4.4,7.37%,-11.87%,-47.42%
1400000US42003422000,0.24%,3.9,8.7,7.7,-13.34%,3.83%,40.01%
1400000US42003423000,0.43%,0.5,1,7.7,15.76%,5.12%,-13.79%
1400000US42003424000,-0.52%,10.5,5.3,5.6,3.86%,22.51%,108.38%
1400000US42003425000,-2.08%,0.9,-6.3,3.8,32.12%,27.76%,14.55%
1400000US42003426300,4.58%,1.3,-0.4,12.6,20.32%,27.93%,102.98%
1400000US42003426400,-7.59%,-1.4,-0.3,3,31.29%,9.82%,-51.47%
1400000US42003426700,3.53%,3,-2.5,-4.3,4.33%,6.05%,18.34%
1400000US42003426800,0.20%,1.3,-3.1,1.6,18.12%,12.73%,-40.77%
1400000US42003427000,-1.59%,0.6,-5.6,1.8,-15.01%,-10.94%,2.51%
1400000US42003427100,1.60%,0.3,0,-3.2,2.22%,3.99%,20.46%
1400000US42003427200,-1.65%,1.4,3.2,1.6,-2.49%,28.83%,257.28%
1400000US42003428100,-6.70%,0.6,1,13.2,1.15%,14.32%,-1741.08%
1400000US42003428200,-0.33%,-10.6,-3.3,5.5,20.04%,9.78%,-22.81%
1400000US42003429100,1.68%,4.2,2.8,8.9,16.68%,52.61%,404.46%
1400000US42003429201,-3.73%,5,-2.5,0.4,2.48%,-24.89%,-85.47%
1400000US42003429202,7.23%,5.2,-0.6,3.8,14.05%,20.90%,67.88%
1400000US42003429300,-2.15%,3.2,0.9,10.5,21.79%,16.22%,-4.92%
1400000US42003429400,1.73%,2.9,1.5,-0.5,8.07%,6.12%,-2.46%
1400000US42003429500,1.84%,10.7,-0.2,3.5,53.23%,40.50%,-6.83%
1400000US42003429600,-5.96%,-1.7,-3.3,14.2,2.51%,4.09%,14.10%
1400000US42003429700,-1.62%,0.4,-7,0.9,-11.05%,2.75%,97.24%
1400000US42003430100,3.44%,-0.2,-3.2,10.3,25.33%,21.96%,1.41%
1400000US42003430200,-2.79%,-0.9,0.3,-4.2,-1.33%,4.79%,36.91%
1400000US42003431100,2.67%,0.3,4.3,3.3,8.04%,12.79%,29.62%
1400000US42003431400,2.46%,7.4,2,11.2,6.42%,-2.17%,-34.13%
1400000US42003431500,-5.17%,3.4,-4.3,3.9,-13.42%,-5.22%,31.01%
1400000US42003432300,-6.59%,3.7,-2.4,-3.2,30.71%,21.19%,-11.59%
1400000US42003432400,1.99%,-4.2,2.8,8.6,-0.01%,17.69%,278.68%
1400000US42003434000,-13.19%,-2.6,1.2,2.7,10.19%,1.65%,-18.56%
1400000US42003435000,-5.15%,-6.9,3.2,5.5,1.17%,11.53%,95.00%
1400000US42003437000,30.29%,8.1,-1.4,10.9,24.84%,-10.10%,-69.56%
1400000US42003439000,1.83%,2.1,0.1,2.4,23.20%,-9.64%,-38.61%
1400000US42003445500,0.66%,-1.3,-3.1,4.2,18.30%,16.13%,12.77%
1400000US42003446000,2.66%,2.3,1.6,4.9,14.28%,24.24%,43.57%
1400000US42003447000,3.03%,-1.8,-1.4,5.4,14.38%,19.83%,33.79%
1400000US42003448000,9.67%,14.6,3.9,12.3,22.87%,14.71%,-6.20%
1400000US42003449000,2.97%,-4,0.9,-2.5,2.35%,-2.27%,-16.76%
1400000US42003450700,-0.84%,6.9,-1.8,11.5,-1.83%,-10.53%,-32.61%
1400000US42003450800,-1.45%,-16,10.5,11.8,17.19%,27.21%,92.69%
1400000US42003451101,9.93%,-2.1,-1,4.3,3.54%,-2.56%,-25.61%
1400000US42003451102,-10.16%,1.1,1.4,5.5,3.95%,12.43%,55.71%
1400000US42003451104,-2.59%,2.2,5.2,-0.6,9.88%,13.65%,58.53%
1400000US42003451105,42.28%,6.5,1.5,14.3,4.19%,1.74%,-6.79%
1400000US42003451300,7.68%,-0.3,-0.2,-2.5,19.79%,26.50%,52.76%
1400000US42003452000,5.40%,2.8,-4.4,2.6,5.24%,1.24%,-17.52%
1400000US42003453003,-2.36%,1.1,5.2,0.4,-23.38%,-33.07%,-52.21%
1400000US42003453004,-0.14%,-6.9,-2.9,-2.5,0.84%,5.31%,32.22%
1400000US42003455000,7.43%,1.4,-3,3,-3.97%,3.83%,62.13%
1400000US42003456001,2.44%,0,2.5,-4.5,-1.04%,-4.49%,-20.74%
1400000US42003456003,19.80%,2.8,-1.1,9.2,11.54%,37.93%,150.19%
1400000US42003456004,-0.58%,-3.5,-1.1,4.4,2.71%,-0.09%,-9.93%
1400000US42003457100,-1.23%,0.2,2.9,2.8,23.84%,17.68%,2.83%
1400000US42003457200,0.11%,0.8,-7.1,4.8,20.29%,11.44%,-12.70%
1400000US42003458000,14.64%,-1.7,0.8,9.9,5.77%,-7.27%,-29.53%
1400000US42003459101,-0.25%,5.5,7.1,11,11.30%,-1.18%,-39.34%
1400000US42003459102,4.14%,-4.8,-2.3,10.9,6.38%,24.13%,202.18%
1400000US42003459201,5.29%,-1.9,2.6,5.7,20.40%,23.31%,31.29%
1400000US42003459202,10.90%,2.5,0.3,1.1,-0.08%,13.66%,1164.99%
1400000US42003460001,5.40%,-0.6,-0.6,6.3,12.53%,14.68%,25.89%
1400000US42003460002,3.13%,5,2,-2.9,-10.13%,-17.47%,-46.14%
1400000US42003461000,-3.77%,1.7,0.7,3.6,2.74%,11.82%,62.63%
1400000US42003462100,-3.19%,-0.9,8.3,-4.3,1.68%,12.09%,63.81%
1400000US42003462600,1.53%,15,-1.4,-1.7,5.32%,1.12%,-11.07%
1400000US42003463900,-6.52%,2.5,2.7,-1.7,-2.66%,-9.85%,-29.06%
1400000US42003464300,-1.84%,3.6,-1.9,6.1,5.96%,44.93%,410.90%
1400000US42003464400,3.62%,-5.5,-9.1,6.7,64.16%,96.32%,161.99%
1400000US42003465600,-0.75%,7,-3.1,-2.7,2.14%,17.94%,64.31%
