GEO_ID	HC01_VC03	HC01_VC03	TotalPop_1015	StDevPop_1015
1400000US42003415001	4498	4887	0.086482881	0.434427221
1400000US42003415002	2612	2405	-0.079249617	-0.612410954
1400000US42003416000	1493	1643	0.100468855	0.52276868
1400000US42003417100	2205	2154	-0.023129252	-0.257930442
1400000US42003417200	1250	1253	0.0024	-0.096676641
1400000US42003418000	1655	1758	0.06223565	0.281271213
1400000US42003419000	2963	3025	0.020924738	0.020333623
1400000US42003420000	1406	1570	0.116642959	0.624931321
1400000US42003421100	4149	4129	-0.004820439	-0.142284056
1400000US42003421200	4227	4376	0.035249586	0.110815558
1400000US42003422000	5400	5413	0.002407407	-0.096629853
1400000US42003423000	2783	2795	0.004311894	-0.084600294
1400000US42003424000	3444	3426	-0.005226481	-0.144848794
1400000US42003425000	3505	3432	-0.020827389	-0.243390884
1400000US42003426300	5900	6170	0.045762712	0.177221011
1400000US42003426400	4666	4312	-0.075867981	-0.591051078
1400000US42003426700	2151	2227	0.035332404	0.11133867
1400000US42003426800	5467	5478	0.002012072	-0.09912696
1400000US42003427000	3781	3721	-0.015868818	-0.212070399
1400000US42003427100	5557	5646	0.016015836	-0.01067313
1400000US42003427200	4961	4879	-0.016528926	-0.216239926
1400000US42003428100	1284	1198	-0.066978193	-0.53489933
1400000US42003428200	2134	2127	-0.003280225	-0.1325554
1400000US42003429100	2556	2599	0.016823161	-0.005573714
1400000US42003429201	4456	4290	-0.037253142	-0.347143043
1400000US42003429202	4300	4611	0.072325581	0.345003589
1400000US42003429300	5488	5370	-0.021501458	-0.247648591
1400000US42003429400	4333	4408	0.017309024	-0.002504796
1400000US42003429500	4081	4156	0.018377849	0.004246364
1400000US42003429600	3372	3171	-0.059608541	-0.488349418
1400000US42003429700	2527	2486	-0.016224772	-0.214318763
1400000US42003430100	2064	2135	0.034399225	0.105444309
1400000US42003430200	4732	4600	-0.027895182	-0.288034118
1400000US42003431100	3114	3197	0.026653821	0.05652099
1400000US42003431400	1873	1919	0.02455953	0.04329254
1400000US42003431500	3388	3213	-0.051652893	-0.4380981
1400000US42003432300	2049	1914	-0.065885798	-0.527999289
1400000US42003432400	2713	2767	0.019904165	0.01388724
1400000US42003434000	1949	1692	-0.131862494	-0.944736648
1400000US42003435000	2561	2429	-0.051542366	-0.437399968
1400000US42003437000	4421	5760	0.302872653	1.801238655
1400000US42003439000	1418	1444	0.018335684	0.003980035
1400000US42003445500	3812	3837	0.006558237	-0.070411416
1400000US42003446000	1614	1657	0.026641884	0.056445585
1400000US42003447000	1584	1632	0.03030303	0.079570972
1400000US42003448000	1168	1281	0.096746575	0.499257154
1400000US42003449000	2560	2636	0.0296875	0.075683016
1400000US42003450700	3082	3056	-0.00843608	-0.165122014
1400000US42003450800	2624	2586	-0.014481707	-0.20330881
1400000US42003451101	3496	3843	0.099256293	0.515109616
1400000US42003451102	6341	5697	-0.101561268	-0.753340995
1400000US42003451104	3508	3417	-0.025940707	-0.27568881
1400000US42003451105	3486	4960	0.422834194	2.558967655
1400000US42003451300	6808	7331	0.076821387	0.37340104
1400000US42003452000	5035	5307	0.054021847	0.229389282
1400000US42003453003	1991	1944	-0.023606228	-0.260943231
1400000US42003453004	6959	6949	-0.001436988	-0.120912718
1400000US42003455000	1333	1432	0.074268567	0.357276327
1400000US42003456001	3653	3742	0.024363537	0.042054561
1400000US42003456003	5748	6886	0.197981907	1.138703313
1400000US42003456004	4514	4488	-0.005759858	-0.148217837
1400000US42003457100	1467	1449	-0.012269939	-0.189338322
1400000US42003457200	3682	3686	0.001086366	-0.104974121
1400000US42003458000	6647	7620	0.146381826	0.812774877
1400000US42003459101	1631	1627	-0.002452483	-0.127327024
1400000US42003459102	5555	5785	0.04140414	0.149690387
1400000US42003459201	5893	6205	0.052944171	0.222582214
1400000US42003459202	670	743	0.108955224	0.576372261
1400000US42003460001	4278	4509	0.053997195	0.229233569
1400000US42003460002	3322	3426	0.031306442	0.085908954
1400000US42003461000	1140	1097	-0.037719298	-0.350087489
1400000US42003462100	2914	2821	-0.031914894	-0.313424358
1400000US42003462600	3456	3509	0.015335648	-0.01496949
1400000US42003463900	2699	2523	-0.065209337	-0.523726468
1400000US42003464300	3370	3308	-0.018397626	-0.228043447
1400000US42003464400	3428	3552	0.036172695	0.116646317
1400000US42003465600	2401	2383	-0.007496876	-0.159189594
1400000US42003465800	3630	3537	-0.025619835	-0.273662042
