GEO_ID	DEM_USC	REP_USC	OTHERS_USC
1400000US42101003300	1612.49	196.035	0
1400000US42107003300	896	1414	0
1400000US42075003400	566.45	1592.622	0
1400000US42107003400	445.894	1023.631	0
1400000US42075003500	958.05	2027.833	132.702
1400000US42107003500	821	1810	0
1400000US42075003600	665.05	1222.833	93.702
1400000US42101003600	2220.523	295.567	0
1400000US42107003600	358	969	0
1400000US42075003700	306	1115	69
1400000US42107003700	332	1312	0
1400000US42101003701	2291.703	86.347	0
1400000US42101003702	1425.827	181.612	0
1400000US42075003800	1167	3697	187
1400000US42101003800	941.284	588.07	0
1400000US42107003800	309	528	0
1400000US42107003900	478	1256	0
1400000US42075003901	569.322	1317.076	101.116
1400000US42101003901	1584.298	629.077	0
1400000US42075003902	177.322	440.076	36.116
1400000US42101003902	1479.965	1094.506	0
1400000US42075004000	1030	2756	156
1400000US42101004001	1631.922	554.76	0
1400000US42101004002	2105.748	1207.616	0
1400000US42075004100	449	863	7
1400000US42101004101	1472.949	256.592	0
1400000US42101004102	1640.662	488.923	0
1400000US42075004200	915	1850	0
1400000US42101004201	1971.046	468.064	0
1400000US42101004202	999.034	286.117	0
1400000US42101005000	278.1	246.848	0
1400000US42077005100	500	911	101
1400000US42077005200	872	2123	172
1400000US42077005301	429	1195	86
1400000US42077005302	551	1585	122
1400000US42101005400	508.365	27.276	0
1400000US42077005401	337	893	50
1400000US42077005402	623	2068	94
1400000US42101005500	2448.142	154.735	0
1400000US42077005503	1241.395	2551.781	175.131
1400000US42077005504	880.633	1764.328	127.715
1400000US42077005505	158.372	340.308	20.961
1400000US42077005506	202.39	447.145	26.455
1400000US42101005600	0.808	0.036	0
1400000US42077005601	1073.543	1887.421	136.144
1400000US42077005602	694.04	1047.645	90.995
1400000US42077005702	793.49	1059.895	96.195
1400000US42077005703	718.067	573.63	54.36
1400000US42077005704	42.067	33.63	2.36
1400000US42077005705	256.06	419.301	21.704
1400000US42077005800	634	777	78
1400000US42077005901	1221	1305	117
1400000US42077005902	303	311	20
1400000US42101006000	3174.861	263.894	0
1400000US42077006001	827.07	1462.905	88.762
1400000US42077006002	591.17	1140.901	49.79
1400000US42101006100	961.064	70.016	0
1400000US42077006101	851.168	1359.266	70.582
1400000US42077006102	443.068	752.27	48.554
1400000US42101006200	1348.764	47.404	0
1400000US42077006202	1013.28	1770.24	110.04
1400000US42077006203	867.409	1884.856	103.064
1400000US42077006204	860.689	1652.096	97.104
1400000US42101006300	1084.228	52.25	0
1400000US42077006302	934.957	1832.082	103.151
1400000US42077006303	611	944	73
1400000US42077006304	620.604	1236.917	74.377
1400000US42077006305	1219.883	2477.916	139.117
1400000US42077006307	1209.627	2475.121	137.574
1400000US42077006308	645.806	1056.486	57.886
1400000US42101006400	1308.241	60.968	0
1400000US42077006401	532.525	932.673	70.942
1400000US42077006402	359.105	736.633	51.715
1400000US42077006500	1026.294	1363.001	127.976
1400000US42101006500	2215.797	39.942	0
1400000US42077006600	1527.542	2386.089	189.368
1400000US42101006600	1311.026	63.006	0
1400000US42101006700	1614.881	80.764	0
1400000US42077006701	586.979	818.953	75.409
1400000US42077006702	785.915	1171.696	93.829
1400000US42077006703	1166.936	2536.743	111.42
1400000US42077006800	1084	792	89
1400000US42101006900	1023.136	18.129	0
1400000US42077006902	373.337	738.932	62.336
1400000US42077006903	359.798	697.679	53.556
1400000US42077006905	335.242	769.122	51.082
1400000US42077006906	692.703	1461.869	104.302
1400000US42077007000	755	1326	99
1400000US42101007000	1904.426	29.735	0
1400000US42101007101	1496.417	57.539	0
1400000US42101007102	2443.888	44.619	0
1400000US42101007200	1928.814	22.596	0
1400000US42101007300	2252.05	41.989	0
1400000US42101007400	1991.769	41.225	0
1400000US42101007700	254.644	27.96	0
1400000US42101007800	2938.385	137.89	0
1400000US42101007900	2539.535	131.767	0
1400000US42101008000	2363.212	49.46	0
1400000US42101008101	1445.72	16.536	0
1400000US42101008102	2533.45	31.791	0
1400000US42101008200	3388.936	74.464	0
1400000US42101008301	2520.446	51.882	0
1400000US42101008302	2622.98	53.069	0
1400000US42101008400	2096	31	0
1400000US42101008500	3009.24	65.984	0
1400000US42101008601	1591.298	89.884	0
1400000US42101008602	1303.373	62.691	0
1400000US42101008701	1538.546	127.844	0
1400000US42101008702	1303.663	160.444	0
1400000US42101008801	862.389	142.872	0
1400000US42101008802	1463.844	248.244	0
1400000US42101009000	690.619	110.792	0
1400000US42077009100	1166.058	1116.083	110.936
1400000US42101009100	772.742	84.905	0
1400000US42077009200	895.818	827.08	93.49
1400000US42101009200	1438	74	0
1400000US42077009300	444.394	353.759	35.38
1400000US42101009300	1893.078	32.736	0
1400000US42077009400	685.727	604.321	66
1400000US42101009400	1746.976	25.978	0
1400000US42077009500	654.643	432.794	47.874
1400000US42101009500	1256.366	21.316	0
1400000US42077009600	1071.526	525.406	46.032
1400000US42101009600	1933.187	37.498	0
1400000US42077009700	2207.844	699.596	88.294
1400000US42101009801	975.797	45.486	0
1400000US42101009802	1469.759	77.207	0
1400000US42101010000	1380.209	76.642	0
1400000US42011010100	416	1768	73
1400000US42021010100	709.024	1276.004	0
1400000US42027010100	455	1417	0
1400000US42041010100	857.154	1420.863	0
1400000US42055010100	379	1329	0
1400000US42073010100	0	1801	0
1400000US42081010100	181	895	0
1400000US42095010100	787.494	744.534	33.148
1400000US42101010100	2385.578	56.072	0
1400000US42013010101	490.378	1377.468	0
1400000US42049010101	0	1084	0
1400000US42071010101	552	2214	108
1400000US42013010102	316.811	695.206	0
1400000US42071010102	439	1160	77
1400000US42013010103	418.811	829.206	0
1400000US42049010103	0	579.576	0
1400000US42049010104	0	866	0
1400000US42049010107	0	482	0
1400000US42133010110	1290.715	2224.977	0
1400000US42133010120	780.459	1271.657	0
1400000US42133010130	852.444	1468.296	0
1400000US42021010200	354.907	395.848	0
1400000US42027010200	319	1021	0
1400000US42055010200	484	1495	0
1400000US42081010200	127	463	0
1400000US42095010200	1244.366	1687.976	62.726
1400000US42101010200	1642.92	25.232	0
1400000US42011010201	566	1507	102
1400000US42041010201	759.26	1591.887	0
1400000US42049010201	11.421	2088.042	0
1400000US42071010201	727.92	2217.456	79.272
1400000US42073010201	0	1891.41	0
1400000US42011010202	676	1603	63
1400000US42049010202	434.421	1966.042	0
1400000US42071010202	536.92	1767.456	73.272
1400000US42073010202	0	2157	0
1400000US42041010203	703.296	791.208	0
1400000US42041010204	1366.45	2154.529	0
1400000US42133010210	1076.377	1732.076	0
1400000US42133010220	1614.218	2342.843	0
1400000US42003010300	770.034	247.131	0
1400000US42021010300	414	779	0
1400000US42027010300	380	781	0
1400000US42041010300	844.048	1320.297	0
1400000US42055010300	1325	2893	0
1400000US42071010300	1092	3324	137
1400000US42073010300	0	582	0
1400000US42081010300	291	1760	0
1400000US42095010300	1187.086	1454.336	63.046
1400000US42101010300	826.317	15.44	0
1400000US42133010300	671.09	609.03	0
1400000US42049010301	97	136	0
1400000US42011010302	448	1063	0
1400000US42011010303	311.86	532.66	0
1400000US42049010303	0	2303.79	0
1400000US42011010304	741.86	1359.66	0
1400000US42049010304	0	3572.79	0
1400000US42011010400	926	2695	73
1400000US42027010400	475	1312	0
1400000US42041010400	894.135	1315.63	0
1400000US42049010400	0	1841.273	0
1400000US42055010400	1429.16	2722.959	0
1400000US42071010400	672	1442	109
1400000US42073010400	0	1147	0
1400000US42081010400	483	2073	0
1400000US42095010400	1256.214	1167.894	62.468
1400000US42101010400	1140.569	14.174	0
1400000US42133010400	1121.278	1582.052	0
1400000US42013010401	281	500	0
1400000US42013010402	1094	2089	0
1400000US42011010500	1064	1958	0
1400000US42013010500	970.406	1461.69	0
1400000US42021010500	494.151	949.096	0
1400000US42027010500	559	2127	0
1400000US42041010500	962.135	1211.63	0
1400000US42049010500	0	332.548	0
1400000US42055010500	963.16	1922.959	0
1400000US42073010500	0	1034	0
1400000US42081010500	468	2211	0
1400000US42095010500	976.854	246.804	16.014
1400000US42101010500	1585	33	0
1400000US42071010501	410.842	1894.954	70.45
1400000US42071010502	375.842	1737.954	48.45
1400000US42133010510	1012.776	1586.07	0
1400000US42133010520	520.994	748.252	0
1400000US42011010600	1624	2811	0
1400000US42013010600	533.34	821.928	0
1400000US42021010600	179.693	337.453	0
1400000US42027010600	385	1449	0
1400000US42041010600	978	1263	0
1400000US42055010600	1046.878	1968.118	0
1400000US42071010600	1439.966	3674.024	170.454
1400000US42073010600	0	1118.428	0
1400000US42081010600	419.818	1709.192	0
1400000US42095010600	2865.272	1800.714	97.634
1400000US42101010600	663.481	9.958	0
1400000US42011010700	1321	2317	0
1400000US42013010700	1248.484	2177.546	0
1400000US42021010700	417	1096	0
1400000US42027010700	696	2242	0
1400000US42041010700	883.096	1396.04	0
1400000US42049010700	0	1226.798	0
1400000US42055010700	2791.878	5618.118	0
1400000US42073010700	0	648.588	0
1400000US42081010700	660.818	2232.192	0
1400000US42095010700	1037.462	618.064	70.698
1400000US42101010700	1371.036	20.957	0
1400000US42071010701	981.263	1707.605	138.237
1400000US42071010702	1235.229	2087.629	155.691
1400000US42013010800	473	1073	0
1400000US42027010800	587	1369	0
1400000US42041010800	688.096	1081.04	0
1400000US42049010800	0	1679.798	0
1400000US42055010800	700.75	1005.956	0
1400000US42073010800	0	2580.41	0
1400000US42081010800	705	2526	0
1400000US42095010800	759.88	511.974	42.318
1400000US42101010800	1825.576	84.391	0
1400000US42011010801	353.056	695.728	26.432
1400000US42021010801	1043.655	2190.661	0
1400000US42071010801	1252	3286	163
1400000US42011010802	2339.439	3142.444	77.119
1400000US42071010802	342	1245	70
1400000US42013010900	1515	2692	0
1400000US42027010900	993	2721	0
1400000US42041010900	876.895	1447.485	0
1400000US42055010900	453.787	669.449	0
1400000US42071010900	1281	2390	205
1400000US42073010900	0	1361	0
1400000US42081010900	284	1127	0
1400000US42095010900	758.99	248.883	24.309
1400000US42101010900	756.423	32.226	0
1400000US42011010902	737	876	73
1400000US42049010902	0	1559	0
1400000US42011010903	1574.41	2150.088	35.875
1400000US42049010903	686.503	2125.624	0
1400000US42011010904	976.131	1272.032	26.652
1400000US42049010904	0	1252.556	0
1400000US42011010905	550.662	619.772	24.91
1400000US42011011000	667.049	1005.346	0
1400000US42021011000	115.989	206.517	0
1400000US42027011000	1210	2662	0
1400000US42055011000	148.098	164.361	0
1400000US42071011000	499	639	92
1400000US42073011000	0	1971.83	0
1400000US42081011000	527	1796	0
1400000US42095011000	818.858	290.635	31.131
1400000US42101011000	945.689	16.624	0
1400000US42013011001	747.043	1602.204	0
1400000US42049011001	1371.836	1600.292	0
1400000US42013011002	706.043	1338.204	0
1400000US42041011002	712.858	1236.72	0
1400000US42049011002	952.219	1090.136	0
1400000US42013011100	1093	2000	0
1400000US42021011100	918.989	1980.517	0
1400000US42027011100	1264	1800	0
1400000US42055011100	145.997	196.833	0
1400000US42071011100	1144	2833	175
1400000US42073011100	0	866.3	0
1400000US42081011100	716.712	1756.276	0
1400000US42095011100	897.173	313.405	33.891
1400000US42101011100	1931.313	32.556	0
1400000US42011011101	133.683	163.581	0
1400000US42041011101	752.963	1550.235	0
1400000US42049011101	1087.378	1265.768	0
1400000US42011011102	946.636	1529.527	10
1400000US42041011102	1173	2082	0
1400000US42049011102	723.498	857.992	0
1400000US42011011200	1007	519	62
1400000US42013011200	1015	1438	0
1400000US42021011200	411.193	759.593	0
1400000US42041011200	283	535	0
1400000US42055011200	324.178	423.051	0
1400000US42071011200	340.622	236.114	43.594
1400000US42073011200	0	1025.962	0
1400000US42081011200	219.712	825.276	0
1400000US42095011200	645.722	143.154	12.363
1400000US42101011200	2690.382	35.076	0
1400000US42027011201	691.244	1567.612	0
1400000US42049011201	935	1522	0
1400000US42049011202	1418	2074	0
1400000US42011011300	582	646	0
1400000US42013011300	1054	1613	0
1400000US42021011300	961.193	1924.593	0
1400000US42027011300	2041.233	1546.705	0
1400000US42049011300	604	630	0
1400000US42071011300	738.744	892.104	83.664
1400000US42073011300	148	1885.962	0
1400000US42095011300	836.031	225.356	19.709
1400000US42101011300	1923.382	31.076	0
1400000US42041011301	1142.748	2551.356	0
1400000US42055011301	876.03	1639.659	0
1400000US42081011301	186	781	0
1400000US42041011302	830.233	1508.241	0
1400000US42055011302	488.03	1061.659	0
1400000US42081011302	237	847	0
1400000US42041011303	1016.24	2025.668	0
1400000US42041011304	724.454	1026.55	0
1400000US42041011305	280.459	467.823	0
1400000US42011011400	1161	1338	0
1400000US42013011400	356	689	0
1400000US42021011400	650	1089	0
1400000US42027011400	2396.233	1779.705	0
1400000US42041011400	707.995	952.157	0
1400000US42049011400	861	940	0
1400000US42055011400	759	1723	0
1400000US42071011400	680.366	579.218	97.258
1400000US42073011400	300	626	0
1400000US42081011400	154.532	687.214	0
1400000US42101011400	3315.322	149.866	0
1400000US42011011500	555	909	0
1400000US42013011500	966	1673	0
1400000US42021011500	622	1535	0
1400000US42041011500	142.995	209.157	0
1400000US42055011500	861	1888	0
1400000US42073011500	684.674	1526.963	0
1400000US42101011500	1923.573	77.655	0
1400000US42027011501	616.925	646.291	0
1400000US42027011502	2656.33	2134.831	0
1400000US42071011502	980	1593	126
1400000US42049011503	785.911	864.312	0
1400000US42071011503	1169.878	1575.051	110.32
1400000US42071011504	2019.878	3223.051	219.32
1400000US42049011505	555.899	751.792	0
1400000US42049011507	391.341	561.242	0
1400000US42013011600	423	1038	0
1400000US42021011600	417	666	0
1400000US42027011600	845.558	847.31	0
1400000US42049011600	641	1068	0
1400000US42055011600	800	2053	0
1400000US42071011600	1317.521	1947.66	136.22
1400000US42073011600	876	1103	0
1400000US42011011601	953.49	1216.976	0
1400000US42041011601	1576.188	2805.686	0
1400000US42081011601	130	489	0
1400000US42011011602	538.49	923.976	0
1400000US42041011602	678.811	1690.404	0
1400000US42081011602	606.532	1482.214	0
1400000US42011011603	600.244	799.108	0
1400000US42041011605	1039.754	2243.388	0
1400000US42021011700	355	724	0
1400000US42041011700	1295.679	3205.19	0
1400000US42055011700	1285.066	2786.444	0
1400000US42073011700	566.406	903.651	0
1400000US42081011700	531	1825	0
1400000US42101011700	749.118	185.884	0
1400000US42011011701	953	2653	0
1400000US42049011701	327.917	738.744	0
1400000US42071011701	1228.682	1240.988	78.845
1400000US42011011702	706	1727	0
1400000US42027011702	2299.558	2379.31	0
1400000US42049011702	628.917	1291.744	0
1400000US42011011703	615	1449	0
1400000US42071011703	2205.161	3575.248	175.144
1400000US42071011704	1562.667	1867.727	110.609
1400000US42071011705	1302.721	2079.953	101.022
1400000US42011011800	881	1272	0
1400000US42021011800	445.792	1491.996	0
1400000US42027011800	1511	1839	0
1400000US42055011800	681	1360	0
1400000US42073011800	487.732	564.688	0
1400000US42081011800	235	1320	0
1400000US42101011800	2945.198	70.596	0
1400000US42041011801	1681.304	3645.768	0
1400000US42049011801	355	895	0
1400000US42071011801	870.913	1266.374	40.237
1400000US42041011802	676.304	1400.768	0
1400000US42049011802	352	1081	0
1400000US42071011802	1739.431	1246.301	133.187
1400000US42041011803	840	2145	0
1400000US42071011803	1574.031	1923.441	120.79
1400000US42071011804	2169.19	2348.818	144.144
1400000US42071011805	871.772	623.508	53.166
1400000US42021011900	347.792	841.996	0
1400000US42049011900	718	1508	0
1400000US42055011900	728.066	1734.444	0
1400000US42081011900	465	1780	0
1400000US42101011900	2173.771	51.332	0
1400000US42027011901	592	1064	0
1400000US42041011901	961.82	2019.397	0
1400000US42071011901	1436	2295	62
1400000US42011011902	568	1240	0
1400000US42027011902	2332.937	2714.228	0
1400000US42041011902	1419.82	2813.397	0
1400000US42071011902	777.971	1080.278	41.492
1400000US42011011903	925.177	1781.617	0
1400000US42011011904	1397.177	2602.617	0
1400000US42021012000	851	1854	0
1400000US42027012000	2178.994	1410.798	0
1400000US42041012000	1423.64	1160.095	0
1400000US42055012000	861	2048	0
1400000US42101012000	648.678	57.754	0
1400000US42011012001	619.116	917.22	0
1400000US42049012001	414	896	0
1400000US42071012001	1129.504	1614.752	114.394
1400000US42011012002	1571.696	2190.46	0
1400000US42049012002	337	678	0
1400000US42071012002	919.504	1339.752	113.394
1400000US42021012100	284	761	0
1400000US42027012100	1750.732	1159.027	0
1400000US42041012100	549.194	503.158	0
1400000US42049012100	1063	2293	0
1400000US42055012100	543.671	1133.312	0
1400000US42101012100	946.79	86.9	0
1400000US42011012101	367	457	0
1400000US42071012102	1487.516	2729.218	125.218
1400000US42011012103	926.298	1488.598	0
1400000US42071012103	1141.932	2301.884	93.146
1400000US42011012104	616.128	882.748	0
1400000US42071012104	558.058	1068.448	42.834
1400000US42011012105	1433.75	2444.09	0
1400000US42011012200	951.398	686.677	59.996
1400000US42021012200	625	1104	0
1400000US42027012200	1850.103	1222.959	0
1400000US42041012200	562.946	512.36	0
1400000US42055012200	505.274	834.342	0
1400000US42071012200	813.24	1744.498	128.506
1400000US42049012201	1226	1965	0
1400000US42101012201	980.744	108.552	0
1400000US42049012202	1254	923	0
1400000US42101012203	7.05	1.95	0
1400000US42101012204	1035.416	79.649	0
1400000US42011012300	943.398	869.677	21.996
1400000US42021012300	384	802	0
1400000US42027012300	831	306	0
1400000US42041012300	1423.64	1160.095	0
1400000US42049012300	1156.353	1422.762	0
1400000US42055012300	556.49	1007.725	0
1400000US42071012301	450.093	922.929	64.815
1400000US42071012302	785.989	1584.03	109.401
1400000US42011012400	1185.011	950.309	27.708
1400000US42021012400	591	1349	0
1400000US42027012400	1075.352	561.768	0
1400000US42041012400	2002.215	1865.081	0
1400000US42049012400	0	714.275	0
1400000US42055012400	643.764	1087.067	0
1400000US42071012402	618.656	1355.603	91.08
1400000US42071012403	0.656	1.603	0.08
1400000US42071012404	781.896	1944.101	98.586
1400000US42011012500	800.516	801.584	0
1400000US42021012500	871.766	1827.455	0
1400000US42027012500	1557.666	1105.081	0
1400000US42101012500	2318.948	559.016	0
1400000US42041012501	536.117	1387.929	0
1400000US42055012501	1275.676	2679.161	0
1400000US42071012501	977.973	2587.033	136.712
1400000US42041012502	129.332	295.884	0
1400000US42055012502	730.501	1460.257	0
1400000US42071012502	334.973	1102.033	56.712
1400000US42011012600	616.335	450.669	27.708
1400000US42021012600	977.766	1572.455	0
1400000US42027012600	1006.027	609.377	0
1400000US42041012600	1351.135	3169.495	0
1400000US42071012601	502	2227	83
1400000US42071012602	272	1137	47
1400000US42011012700	1858.92	2232.972	0
1400000US42021012700	412	879	0
1400000US42027012700	665.943	354.272	0
1400000US42071012700	519	2265	77
1400000US42041012701	756	2146	0
1400000US42041012702	467	1456	0
1400000US42011012800	852	691	18
1400000US42021012800	698	1427	0
1400000US42027012800	1537.611	773.104	0
1400000US42041012800	849.837	2810.926	0
1400000US42071012800	787	1748	97
1400000US42011012900	2335	4373	0
1400000US42021012900	570	1067	0
1400000US42041012900	69.837	147.926	0
1400000US42071012900	484	1793	36
1400000US42011013000	923	2345	0
1400000US42021013000	308	638	0
1400000US42041013000	627	2421	0
1400000US42071013000	854	2242	93
