GEO_ID	CLINTON	TRUMP	OTHERS_USP	MCGINTY	TOOMEY	OTHERS_USS	DEM_USC	REP_USC	OTHERS_USC
1400000US42133001100	532.362	113.915	21.253	515.496	114.648	30.76	516.269	142.567	0
1400000US42101001101	1650.831	142.724	44.317	1568.663	229.261	21.964	1516.581	251.95	0
1400000US42101001102	1478.202	148.021	38.863	1377.737	242.754	21.978	1358.978	244.276	0
1400000US42011001200	291.459	28.951	4.415	270.068	29.86	3.76	268.363	26.721	1.88
1400000US42021001200	448.782	535.685	31.736	499.254	442.8	60.296	485.129	511.826	0
1400000US42049001200	575.983	237.675	48.757	572.58	244.245	32.983	0	397.867	0
1400000US42071001200	1548.844	649.005	120.132	1545.158	669.114	97.05	1525.817	705.845	76.724
1400000US42077001200	632.454	107.749	19.135	618.316	102.441	25.819	607.536	117.677	17.939
1400000US42107001200	311	1535	53	390	1386	110	441	1433	0
1400000US42133001200	865.282	225.845	47.493	842.266	235.598	56.59	836.479	288.937	0
1400000US42101001201	2368.206	212.756	68.094	2202.83	396.418	21.666	2184.736	371.18	0
1400000US42101001202	1594.911	181.323	45.976	1444.231	331.396	16.976	1428.931	316.75	0
1400000US42011001300	535.003	100.508	18.214	484.944	110.921	11.24	478.03	90.173	11.451
1400000US42049001300	330.968	59.683	10.288	319.816	63.409	11.845	0	129.897	0
1400000US42101001300	3609.98	343.723	100.598	3358.211	594.762	49.527	3372.923	564.835	0
1400000US42107001300	278	859	44	350	705	98	446	698	0
1400000US42133001300	744.295	322.33	59.965	734.595	336.4	62.805	714.435	405.12	0
1400000US42011001400	741.729	108.68	15.664	671.13	110.582	11.383	676.201	91.305	7.835
1400000US42049001400	127.299	21.324	4.164	121.907	24.075	3.65	0	48.344	0
1400000US42071001400	540.013	129.618	26.076	523.375	137.506	28.707	527.605	141.581	17.332
1400000US42101001400	2565.698	194.143	63.065	2402.357	337.486	32.616	2387.402	336.223	0
1400000US42107001400	286	695	34	364	546	95	458	536	0
1400000US42133001400	1213.988	557.916	70.988	1212.475	557.277	80.191	1180.174	650.429	0
1400000US42077001401	2238.698	805.878	118.622	2180.104	813.14	111.752	2067.146	913.754	121.648
1400000US42077001402	434.402	360.406	18.79	415.216	351.244	34.208	382.682	382.778	28.72
1400000US42011001500	599.647	100.512	17.181	546.182	100.965	16.181	551.962	83.777	9.879
1400000US42049001500	152.308	51.522	7.174	146.372	51.238	8.488	0	88.844	0
1400000US42101001500	2095.52	232.594	56.562	2000.965	327.956	21.958	1945.955	350.717	0
1400000US42107001500	555	956	71	644	763	167	780	763	0
1400000US42133001500	620.613	180.516	42.263	612.65	193.827	41.216	604.949	231.679	0
1400000US42077001501	1776.293	651.686	68.617	1700.992	659.206	103.663	1634.194	734.921	95.344
1400000US42077001502	1672.122	804.714	80.035	1617.229	805.31	113.494	1525.105	891.57	93.791
1400000US42011001600	480.687	100.248	16.058	429.291	100.488	18.699	438.172	82.518	11.767
1400000US42049001600	749.044	463.516	61.946	751.468	455.826	58.12	0	688.802	0
1400000US42077001600	581.521	88.89	12.122	554.927	88.127	20.7	535.37	108.483	17.23
1400000US42101001600	670.959	86.686	28.146	629.279	140.149	10.468	624.078	137.881	0
1400000US42107001600	658	1490.08	60.648	794.168	1239.744	144.136	930.144	1233.968	0
1400000US42133001600	227.864	60.204	15	223.18	64.792	14.396	225.108	74.32	0
1400000US42011001700	833.783	108.026	17.054	739.037	110.058	9.637	733.504	84.9	12.101
1400000US42049001700	288.741	76.469	13.049	280.375	80.434	12.641	0	143.251	0
1400000US42077001700	559.838	118.104	12.976	550.19	107.082	21.203	535.324	125.686	17.378
1400000US42101001700	1879.405	201.839	58.235	1764.508	326.21	27.402	1732.505	328.156	0
1400000US42107001700	928.207	1268.505	85.419	998.758	1142.535	131.572	1163.348	1113.841	0
1400000US42011001800	1118.352	375.537	66.457	1052.987	377.694	59.192	1078.111	338.021	31.518
1400000US42049001800	250.004	57.843	7.178	239.586	58.581	11.395	0	121.265	0
