GEO_ID	CLINTON	TRUMP	OTHERS_USP	MCGINTY	TOOMEY	OTHERS_USS	DEM_USC	REP_USC	OTHERS_USC	margin_usp	margin_uss	margin_usc
1400000US42107002000	67.433	114.445	8.048	76.959	93.627	17.724	88.085	98.073	0	0.247527985	0.088513621	0.053653348
1400000US42011002100	571	105	24	502	100	21	504	87	17	-0.665714286	-0.645264848	-0.685855263
1400000US42049002100	904.124	747.252	76.144	916.16	742.364	68.16	0	1035.536	0	-0.090807632	-0.100653044	1
1400000US42075002100	359	1769	82	431	1643	119	365	1685	115	0.63800905	0.552667579	0.609699769
1400000US42077002100	1674.682	559.327	85.415	1606.219	590.437	82.979	1490.814	709.358	76.007	-0.480875855	-0.445589755	-0.343319221
1400000US42101002100	1328.28	56.572	37.286	1259.32	102.348	25.388	1277.81	97.348	0	-0.894222642	-0.834120612	-0.858419178
1400000US42107002100	191	448	19	246	356	46	282	365	0	0.390577508	0.169753086	0.128284389
1400000US42011002200	388.492	44.378	8.432	361.49	49.344	8.047	366.892	42.697	3.835	-0.779769863	-0.745190161	-0.78417073
1400000US42049002200	997.76	724.208	118.236	1003.976	716.192	98.548	0	1080.912	0	-0.148653084	-0.158234711	1
1400000US42075002200	614	2189	99	644	2061	177	551	2139	121	0.542729152	0.49167245	0.564923515
1400000US42101002200	1199.782	80.359	51.527	1180.757	113.213	19.855	1188.757	106.259	0	-0.840617181	-0.812546572	-0.835895464
1400000US42107002200	433	860	45	499	709	113	601	712	0	0.319133034	0.158970477	0.084539223
1400000US42077002201	1263.064	808.868	88.038	1216.1	860.72	89.446	1029.578	1025.612	86.594	-0.210278846	-0.164051875	-0.001851727
1400000US42077002202	1424.052	397.007	62.984	1327.533	458.325	67.635	1176.956	579.226	66.695	-0.545128216	-0.468956721	-0.327904735
1400000US42011002300	445.974	61.07	9.52	409.332	70.512	8.186	403.888	63.048	4.108	-0.745123547	-0.694260599	-0.723584209
1400000US42049002300	487.729	301.972	40.663	489.138	295.364	41.802	0	505.267	0	-0.223705507	-0.234506913	1
1400000US42075002300	228	1118	32	249	1066	56	198	1085	51	0.64586357	0.59591539	0.664917541
1400000US42101002300	1953.782	322.359	83.527	1911.757	371.213	34.855	1920.757	339.259	0	-0.691378194	-0.664650696	-0.699772922
1400000US42107002300	456	716	49	517	579	111	589	599	0	0.212940213	0.051367026	0.008417508
1400000US42077002301	2203.972	1529.64	118.775	2029.749	1705.94	114.045	1572.71	2140.69	109.02	-0.175042642	-0.084112045	0.14859173
1400000US42077002302	3051.562	1748.279	156.202	2803.236	1975.639	155.542	2268.592	2474.462	142.885	-0.262968461	-0.167719307	0.042135197
1400000US42049002400	701.135	408.425	55.962	669.143	427.813	56.713	0	681.645	0	-0.251140691	-0.209184784	1
1400000US42075002400	216	992	41	241	962	52	184	1000	46	0.621297038	0.574501992	0.663414634
1400000US42101002400	1973.406	411.609	72.093	1885.723	459.687	35.754	1903.702	415.54	0	-0.635624075	-0.598881891	-0.641658783
1400000US42107002400	341	709	35	421	540	101	516	543	0	0.339170507	0.112052731	0.025495751
1400000US42011002500	552.808	70.387	11.287	501.568	76.859	10.143	491.212	67.061	5.855	-0.760338355	-0.721594713	-0.751870143
1400000US42049002500	416.184	201.865	24.387	403.077	200.745	30.095	0	330.786	0	-0.333603659	-0.319177432	1
1400000US42075002500	723	1007	109	732	1003	91	610	1107	82	0.154431756	0.148411829	0.276264591
1400000US42101002500	2197.581	371.8	62.947	2080.454	440.545	39.561	2086.393	425.191	0	-0.693599354	-0.640449355	-0.661416063
1400000US42107002500	238	816	40	288	707	80	347	717	0	0.52833638	0.389767442	0.347744361
1400000US42011002600	589.906	203.094	22.198	552.502	201.146	16.298	555.854	184.746	11.324	-0.474500673	-0.456338496	-0.49354456
1400000US42049002600	477.723	221.349	26.483	465.173	218.866	32.071	0	357.699	0	-0.353348816	-0.343951348	1
1400000US42075002600	317	661	60	370	611	53	286	689	42	0.331406551	0.233075435	0.39626352
1400000US42107002600	377.117	910.304	44.575	428.715	748.717	135.288	515.635	784.97	0	0.400291743	0.243770187	0.207084395
1400000US42011002700	546.634	177.374	19.87	510.058	177.654	14.378	513.066	163.11	9.828	-0.496398603	-0.473449273	-0.510136967
1400000US42049002700	604.124	445.51	48.21	587.096	444.068	50.634	0	624.95	0	-0.144477722	-0.132213223	1
1400000US42107002700	144.117	357.304	20.575	157.715	312.717	49.288	213.635	291.97	0	0.408407344	0.298241361	0.154933199
1400000US42075002701	681.46	1866.856	75.116	719.608	1766.084	125.86	648.908	1809.784	119.1	0.451849333	0.400710382	0.450337343
1400000US42101002701	1293.093	166.78	54.656	1256.117	188.353	25.456	1266.557	168.316	0	-0.743672125	-0.726406635	-0.765392477
1400000US42075002702	742.46	1609.856	84.116	757.608	1548.084	115.86	681.908	1610.784	96.1	0.356010757	0.326433626	0.388847585
1400000US42101002702	933.28	350.332	51.243	898.867	351.989	27.117	1004.324	245.236	0	-0.436712602	-0.427926099	-0.607484234
1400000US42049002800	1690.852	1240.984	132.705	1621.22	1270.789	128.612	0	1869.267	0	-0.14679784	-0.116012899	1
1400000US42075002800	846	2925	133	892	2796	201	867	2963	0	0.532530738	0.489586012	0.547258486
1400000US42107002800	250	625	33	282	521	90	360	525	0	0.412995595	0.267637178	0.186440678
1400000US42101002801	1102.882	175.868	45.978	1071.299	184.644	17.161	1076.683	166.864	0	-0.69977686	-0.69645135	-0.731632178
1400000US42101002802	2289.506	675.994	99.988	2251.075	668.89	43.647	2343.242	556.025	0	-0.526347518	-0.533870493	-0.616437534
1400000US42011002900	97.884	53.272	5.936	94.76	50.06	5.364	97.892	45.088	2.644	-0.283986454	-0.297634901	-0.362605065
1400000US42049002900	601.583	407.089	45.352	576.645	447.564	24.773	0	609.676	0	-0.18452521	-0.123053589	1
1400000US42075002900	283	923	62	302	884	80	296	940	0	0.504731861	0.45971564	0.521035599
1400000US42101002900	1539.498	462.349	62.591	1498.503	462.957	36.82	1581.39	385.97	0	-0.521763792	-0.518218668	-0.607626464
1400000US42107002900	559.094	2384.152	87.011	645.524	2128.415	216.927	755.982	2193.074	0	0.602278289	0.495806566	0.487305768
1400000US42049003000	1354.512	991.933	108.49	1354.561	983.229	100.789	0	1466.476	0	-0.147693931	-0.152273927	1
1400000US42075003000	475	1674	96	528	1588	119	512	1688	0	0.534075724	0.474272931	0.534545455
1400000US42107003000	702.466	2097.85	100.757	747.381	1910.591	195.419	852.876	1987.705	0	0.480988931	0.407658817	0.399505946
1400000US42101003001	867.865	76.665	24.643	850.979	90.277	13.481	857.371	66.776	0	-0.816366118	-0.79676602	-0.855486194
1400000US42101003002	1287.856	67.025	41.425	1259.04	82.92	18.113	1267.639	83.294	0	-0.874329123	-0.864747701	-0.876686705
